time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/clip_fraction,train/std,train/n_updates,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
38,9203,65.42,77824,445.8169460499999,8,-0.007413165626348928,-0.5848802141845226,0.9327521100640297,2138.31494140625,0.070263671875,0.3248405456542969,8710,6610.120142364502,0.0003,0.2,0.0057397434
39,9441,70.21,79872,350.34170739999996,8,-0.008989114873111248,-0.5830890621989966,0.9252535849809647,1556.662109375,0.076806640625,0.32426607608795166,8720,5519.8514976501465,0.0003,0.2,0.008881532
40,9680,72.61,81920,380.94931704999993,8,-0.007282080489676446,-0.5806594461202621,0.9389225207269192,2551.349853515625,0.06005859375,0.32400861382484436,8730,7165.430132675171,0.0003,0.2,0.007843784
41,9917,78.66,83968,407.12069560000003,8,-0.005931504329782911,-0.5809416033327579,0.8940878212451935,3331.56982421875,0.028857421875,0.32433828711509705,8740,11490.206600189209,0.0003,0.2,0.004656984
42,10151,85.16,86016,324.2683859300001,8,-0.007088967933668755,-0.5812894366681576,0.912333719432354,2974.720703125,0.05,0.3239174485206604,8750,8082.783472442627,0.0003,0.2,0.0051344624
43,10400,75.59,88064,361.37466849000003,8,-0.00920005519001279,-0.580081645026803,0.9104984551668167,4103.3740234375,0.056103515625,0.3240598142147064,8760,8605.705117034911,0.0003,0.2,0.008774919
44,10649,73.14,90112,267.97663263,8,-0.00568112483015284,-0.5808500133454799,0.9081211984157562,5237.38525390625,0.045703125,0.32395559549331665,8770,10423.438568878173,0.0003,0.2,0.0066725696
45,10886,72.24,92160,329.16523987,8,-0.005937908930354752,-0.5794596899300813,0.9703155737370253,1735.31005859375,0.087646484375,0.3236159682273865,8780,3273.7906063079836,0.0003,0.2,0.008269791
46,11124,72.96,94208,344.49118505,8,-0.007583059216267429,-0.5784311287105084,0.9016669765114784,7847.80908203125,0.085595703125,0.3237202763557434,8790,9948.709805679322,0.0003,0.2,0.007774247
47,11363,77.12,96256,374.07610418999997,8,-0.004648222916875966,-0.5778594288975001,0.8705780506134033,3300.81298828125,0.026123046875,0.32326382398605347,8800,12461.755069732666,0.0003,0.2,0.0063517606
48,11610,77.35,98304,433.69778195999993,8,-0.011014591250568629,-0.5759941719472408,0.9420400522649288,1708.7283935546875,0.08544921875,0.32314178347587585,8810,4754.82691040039,0.0003,0.2,0.0073092533
49,11850,77.15,100352,434.0034383799999,8,-0.008573000994510948,-0.5745473306626081,0.9124167636036873,1494.6024169921875,0.08671875,0.3227813243865967,8820,5115.979016494751,0.0003,0.2,0.011718459
