time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_range
9,16507,159744,78,952.59,-1897.8046602299999,0.804229810833931,-2.6674489438533784,24.49175262451172,0.920650064945221,44.069841606915,0.041748046875,770,0.0003,-0.0013509533149772325,0.0030576303,0.2
9,16718,161792,79,952.59,-1878.1405770000003,0.829542487859726,-2.657884008437395,7.2098917961120605,0.9101139307022095,34.04958979189396,0.026416015625,780,0.0003,-0.0022920885967323557,0.004004375,0.2
9,16929,163840,80,949.67,-1870.26455351,0.7919652163982391,-2.6397306613624094,14.862448692321777,0.9070066809654236,38.43457016348839,0.068896484375,790,0.0003,-0.004894873405282852,0.009119282,0.2
9,17141,165888,81,949.22,-1861.0526325500002,0.2196279764175415,-2.6391227319836617,18.083213806152344,0.913479208946228,395.01695469617846,0.045556640625,800,0.0003,-0.004546614600985777,0.004776572,0.2
9,17352,167936,82,949.22,-1856.2454390999999,0.08681470155715942,-2.646564995497465,177.6039581298828,0.9122250080108643,4576.890420198441,0.0427734375,810,0.0003,-0.002337659697514027,0.0059295604,0.2
9,17564,169984,83,949.22,-1845.09589931,0.4733625650405884,-2.6479154251515866,7.492689609527588,0.9145728349685669,44.24033887386322,0.033349609375,820,0.0003,-0.0019145064637996257,0.005249569,0.2
9,17778,172032,84,935.74,-1805.0944090399998,0.317627489566803,-2.687614879012108,3.455604314804077,0.9408490657806396,11.679995358735322,0.086376953125,830,0.0003,-0.007734107692522229,0.007346982,0.2
9,17989,174080,85,933.81,-1789.2735749499998,0.1923951506614685,-2.7075545325875283,12145.958984375,0.9405200481414795,5134.914714717865,0.062841796875,840,0.0003,-0.0033427711055992403,0.0068959966,0.2
9,18201,176128,86,928.77,-1753.0713526800005,0.719511479139328,-2.7044473074376585,118.61304473876953,0.9372711181640625,688.8209678053856,0.0046875,850,0.0003,-0.001696228131186217,0.0021148445,0.2
9,18412,178176,87,925.34,-1741.3373659200004,0.5049384534358978,-2.70041796118021,3036.07275390625,0.9374383687973022,4676.7833433151245,0.014013671875,860,0.0003,-0.00219300034295884,0.0035389748,0.2
9,18623,180224,88,924.83,-1726.5256008299998,0.7554668337106705,-2.6928460277616977,345.36932373046875,0.9308055639266968,291.44896894693375,0.05244140625,870,0.0003,-0.005783862773387227,0.0054521733,0.2
9,18834,182272,89,922.89,-1745.06756198,0.8098958283662796,-2.6804240338504313,44.064056396484375,0.9256551265716553,562.4122493207454,0.01064453125,880,0.0003,-0.002681661945825908,0.0037143403,0.2
9,19046,184320,90,919.04,-1726.6503623899996,0.899013064801693,-2.674696922302246,555.1170043945312,0.9274997711181641,387.95596878528596,0.048779296875,890,0.0003,-0.005855522603087593,0.0068696477,0.2
9,19258,186368,91,915.49,-1756.1601554699998,0.8440899550914764,-2.6630932494997976,19.04120635986328,0.9125540256500244,304.2991514742374,0.048388671875,900,0.0003,-0.0058356381152407264,0.0050920146,0.2
9,19469,188416,92,911.6,-1756.32429997,0.7577881067991257,-2.635805679857731,8.967886924743652,0.9046134352684021,605.3102867633104,0.06806640625,910,0.0003,-0.003986429813085124,0.010540581,0.2
9,19680,190464,93,908.71,-1763.9636047499998,0.8790737167000771,-2.622522370517254,373.9859619140625,0.8979291915893555,291.7549344986677,0.06123046875,920,0.0003,-0.005212054830917623,0.0065979194,0.2
9,19892,192512,94,906.5,-1742.1361517599998,0.8006624281406403,-2.6133376702666284,9.536070823669434,0.8952800035476685,263.4883582353592,0.031494140625,930,0.0003,-0.006379348831251264,0.005664599,0.2
9,20103,194560,95,906.5,-1725.42838957,0.8570102453231812,-2.6057335034012796,42.06100082397461,0.8917940855026245,430.46734805703164,0.050244140625,940,0.0003,-0.003636912802176084,0.0063020186,0.2
9,20314,196608,96,905.35,-1731.75372727,0.8048375993967056,-2.6027543477714064,32.30545425415039,0.8936724662780762,67.29570705592633,0.032666015625,950,0.0003,-0.004192902651266195,0.006346422,0.2
9,20527,198656,97,899.49,-1728.91837435,0.775245875120163,-2.6014251887798308,60.460670471191406,0.8911310434341431,375.4185947060585,0.02392578125,960,0.0003,-0.0029990023023856336,0.0040113847,0.2
9,20737,200704,98,900.76,-1750.0722106400003,0.8490665853023529,-2.6052332028746603,33.506988525390625,0.896416187286377,536.6267382621766,0.06220703125,970,0.0003,-0.008023137489362852,0.0061508184,0.2
9,20950,202752,99,903.93,-1768.4614377300002,0.6906042397022247,-2.6048142299056054,83.78987884521484,0.890936553478241,426.3078519940376,0.06044921875,980,0.0003,-0.00539682240851107,0.006613734,0.2
9,21162,204800,100,903.69,-1774.3151242000001,0.847222626209259,-2.596677348762751,80.7791748046875,0.8871331810951233,306.91828275322916,0.043505859375,990,0.0003,-0.005802293365923106,0.0055701705,0.2
9,21373,206848,101,903.69,-1769.30591103,0.8878602162003517,-2.5853351406753062,138.18585205078125,0.8840420246124268,545.210363149643,0.027734375,1000,0.0003,-0.0037908641112153417,0.003699088,0.2
9,21585,208896,102,894.87,-1740.1058950399997,0.9449695348739624,-2.5890868067741395,10.864526748657227,0.8874675631523132,123.7382640182972,0.038623046875,1010,0.0003,-0.002552500448655337,0.0045225406,0.2
9,21796,210944,103,895.61,-1753.5881397199994,0.7944082319736481,-2.5857574686408045,168.7620391845703,0.8834530711174011,536.7707319319248,0.034521484375,1020,0.0003,-0.0037115570892638063,0.003978003,0.2
9,22007,212992,104,895.82,-1754.0096889999998,0.7583410441875458,-2.573892043530941,34.60628128051758,0.8795435428619385,181.91846629977226,0.042626953125,1030,0.0003,-0.003842686879215762,0.0042988,0.2
9,22218,215040,105,895.82,-1733.7005745699998,0.8977750390768051,-2.561906261742115,14.295934677124023,0.8717230558395386,152.1344729423523,0.05712890625,1040,0.0003,-0.0027097484555270055,0.004958706,0.2
9,22429,217088,106,895.82,-1710.6061937499999,0.7694632112979889,-2.5403956323862076,27.36458396911621,0.8594929575920105,120.36064128875732,0.070947265625,1050,0.0003,-0.005029520193056669,0.009143346,0.2
9,22640,219136,107,899.64,-1707.51157705,0.8908727020025253,-2.5137518219649793,4.719688892364502,0.8532425165176392,17.504755242168905,0.108740234375,1060,0.0003,-0.0078400973805401,0.009737418,0.2
9,22853,221184,108,891.13,-1664.48486948,0.5446994602680206,-2.490060369670391,6.230806827545166,0.839474081993103,16.938520200550556,0.073828125,1070,0.0003,-0.005529640465101693,0.007034813,0.2
9,23064,223232,109,890.4,-1678.8745343000003,0.28334712982177734,-2.467658367007971,5319.8974609375,0.838341474533081,4930.1348375558855,0.0240234375,1080,0.0003,-0.0026524039029027337,0.0051275613,0.2
9,23275,225280,110,890.55,-1636.4188786600002,0.8056136220693588,-2.459048468619585,49.841426849365234,0.8323425054550171,330.66798703670503,0.010595703125,1090,0.0003,-0.003530873686031555,0.0030586747,0.2
9,23488,227328,111,879.0,-1607.1332317700005,0.8452461212873459,-2.446334630995989,154.123779296875,0.8289412260055542,303.75926051139834,0.031591796875,1100,0.0003,-0.0031877176057605538,0.003267047,0.2
9,23700,229376,112,865.88,-1545.17129283,0.6091501116752625,-2.4426386535167692,2578.968505859375,0.8306088447570801,3894.0894314289094,0.054541015625,1110,0.0003,-0.003452078490954591,0.0056182314,0.2
