rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/std,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates
454.58358588999994,83.55,6690,57344,8,28,0.31559526920318604,0.2,1661.12158203125,5165.624225997924,0.9567348696291447,-0.008420893528091255,-0.531442841142416,0.009648126,0.0003,0.077001953125,9100
520.5816971,78.2,6932,59392,8,29,0.3156335949897766,0.2,1300.7767333984375,3707.365998458862,0.9550979547202587,-0.0071402892644982785,-0.5292746167629957,0.008145911,0.0003,0.076220703125,9110
514.59926714,82.28,7169,61440,8,30,0.31570982933044434,0.2,1202.40625,3245.113783454895,0.959178488701582,-0.008233075236785226,-0.5291440427303314,0.014728734,0.0003,0.143798828125,9120
563.87849224,79.04,7412,63488,8,31,0.3147053122520447,0.2,1441.4698486328125,3629.3557094573976,0.9632295817136765,-0.009225216042250396,-0.5267599821090698,0.012331242,0.0003,0.102490234375,9130
584.1333637299999,76.76,7648,65536,8,32,0.3145309090614319,0.2,1236.32373046875,2559.534462928772,0.9689212795346975,-0.01007433997001499,-0.5233499050140381,0.015650967,0.0003,0.143896484375,9140
563.12140233,80.82,7886,67584,8,33,0.3150355815887451,0.2,2741.66259765625,4481.600587463379,0.958334032446146,-0.00801810770208249,-0.5244853615760803,0.00949781,0.0003,0.0916015625,9150
490.1984677500001,79.81,8124,69632,8,34,0.3140248656272888,0.2,1871.2352294921875,4639.386310577393,0.9487381428480148,-0.008828683223691769,-0.5231295119971037,0.0074148197,0.0003,0.072705078125,9160
514.96291881,86.33,8356,71680,8,35,0.31304633617401123,0.2,1069.245849609375,4279.611270523072,0.954684779047966,-0.00908043013769202,-0.5162447042763233,0.00813101,0.0003,0.09921875,9170
435.47102398000004,85.6,8597,73728,8,36,0.3121694028377533,0.2,1455.6715087890625,2837.9139350891114,0.9728571511805058,-0.010031522618373857,-0.5103308089077473,0.010854945,0.0003,0.102978515625,9180
473.05961595,80.38,8842,75776,8,37,0.3124314844608307,0.2,5991.00732421875,10002.389961242676,0.897659420967102,-0.006799663753190544,-0.5075210649520159,0.0072420146,0.0003,0.060791015625,9190
489.7424942299999,79.55,9073,77824,8,38,0.3120095729827881,0.2,379.0975646972656,2056.1112619400024,0.9778405278921127,-0.008467506439774296,-0.5079301945865154,0.011420824,0.0003,0.1216796875,9200
426.56296125999995,81.71,9307,79872,8,39,0.3117287755012512,0.2,2405.95947265625,6780.264903640747,0.8993749469518661,-0.008210059072007425,-0.5059692244976759,0.008566931,0.0003,0.057568359375,9210
454.8715541899999,86.8,9542,81920,8,40,0.3113453984260559,0.2,2794.845458984375,7165.085188293457,0.9289553910493851,-0.006212063519342337,-0.5031846649944782,0.006259008,0.0003,0.040283203125,9220
437.9728202400001,90.54,9776,83968,8,41,0.31094253063201904,0.2,2125.89794921875,6779.384602355957,0.9019509553909302,-0.004669901510351337,-0.5005469713360071,0.005713665,0.0003,0.060546875,9230
457.0479191200001,88.44,10022,86016,8,42,0.3114321231842041,0.2,2136.669921875,4120.927065467835,0.9414571970701218,-0.006257739031570964,-0.5003608420491219,0.005908696,0.0003,0.06103515625,9240
462.4132624,80.96,10261,88064,8,43,0.310753732919693,0.2,1303.14892578125,4788.543960952758,0.9225042164325714,-0.006172314760624431,-0.5005029134452343,0.0067643723,0.0003,0.062158203125,9250
452.08668409999996,74.01,10506,90112,8,44,0.31073009967803955,0.2,1539.6588134765625,4748.856688308716,0.9375459253787994,-0.007037954057159368,-0.4983270294964314,0.007767154,0.0003,0.07900390625,9260
509.88341715,75.84,10743,92160,8,45,0.31081855297088623,0.2,930.7216186523438,4755.721613883972,0.9497933909296989,-0.0056502210529288275,-0.49839005172252654,0.0109157115,0.0003,0.09130859375,9270
527.0524644000001,71.67,10990,94208,8,46,0.31058967113494873,0.2,1409.2060546875,4178.214682006836,0.914724089205265,-0.007603034119529184,-0.4974832974374294,0.008160781,0.0003,0.067529296875,9280
526.5927267500001,72.79,11225,96256,8,47,0.3104488253593445,0.2,807.3199462890625,5439.81575832367,0.9362770542502403,-0.005951237768749706,-0.4961650062352419,0.008110872,0.0003,0.08408203125,9290
430.40894525,77.23,11466,98304,8,48,0.3108733892440796,0.2,1207.9986572265625,4636.795656204224,0.9491624608635902,-0.006800507145817392,-0.49727467969059946,0.007971481,0.0003,0.056005859375,9300
431.23977328999996,76.5,11705,100352,8,49,0.31145453453063965,0.2,1781.6707763671875,4698.265282821655,0.9554262831807137,-0.008478596624627244,-0.5005370389670134,0.008641257,0.0003,0.08671875,9310
