time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/std,train/n_updates,train/explained_variance,train/approx_kl
9,6791,30,544.5657393500001,136.03,61440,104.8709945678711,0.2,-1.4802871771156787,0.085205078125,-0.008875632501440123,0.0003,647.214890909195,0.5063344836235046,5690,0.9753980170935392,0.009375259
9,7012,31,521.59087878,139.86,63488,3199.8935546875,0.2,-1.4735029626637697,0.08779296875,-0.006043295309063978,0.0003,4919.624923896789,0.5057785511016846,5700,0.8439481556415558,0.007220065
9,7239,32,529.08220033,129.01,65536,1479.0533447265625,0.2,-1.4715495217591523,0.055322265625,-0.007965546485502272,0.0003,6157.040964889527,0.5051883459091187,5710,0.8081538081169128,0.007703496
9,7465,33,569.9077842400001,126.97,67584,519.455810546875,0.2,-1.4692130956798792,0.07470703125,-0.009332040755543858,0.0003,1530.7783329963684,0.504599392414093,5720,0.9538038000464439,0.009700148
9,7691,34,577.97376608,131.47,69632,272.68902587890625,0.2,-1.4640766870230437,0.1060546875,-0.009853976813610643,0.0003,871.179702091217,0.5025147199630737,5730,0.9732116013765335,0.010050249
9,7917,35,541.68004004,133.76,71680,990.2303466796875,0.2,-1.4589704498648643,0.039501953125,-0.007514241960598156,0.0003,3736.1690505981446,0.5019603967666626,5740,0.9111528322100639,0.0052346964
9,8146,36,541.91554675,131.21,73728,531.1342163085938,0.2,-1.4573871321976184,0.040087890625,-0.007112461084034294,0.0003,3287.5301275253296,0.501593291759491,5750,0.9497622586786747,0.005375308
9,8368,37,540.19405034,136.7,75776,102.84376525878906,0.2,-1.4487975865602494,0.1166015625,-0.014230498831602744,0.0003,558.2469247817993,0.4976252317428589,5760,0.9851402528584003,0.010665274
9,8593,38,541.4969033799999,133.7,77824,516.078125,0.2,-1.4378526978194714,0.05458984375,-0.007497376142418943,0.0003,2807.164106273651,0.49688488245010376,5770,0.9384987391531467,0.006411655
9,8812,39,550.2105142799999,138.25,79872,747.2098388671875,0.2,-1.4344697568565608,0.068115234375,-0.008288896123121958,0.0003,4218.648472595215,0.4951568841934204,5780,0.9457430653274059,0.0073452517
