rollout/ep_len_mean,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
192.76,9,0.05,-1071.8476990699999,304,5805,54281,0.0001,16.193843841552734,1070
195.12,9,0.05,-1082.2173778099998,308,5922,55403,0.0001,16.351049423217773,1350
202.64,9,0.05,-1117.89623104,312,6074,56871,0.0001,0.5430742502212524,1717
202.16,9,0.05,-1119.40645,316,6127,57349,0.0001,0.4080473780632019,1837
207.86,9,0.05,-1152.7336248200002,320,6275,58777,0.0001,0.3698294758796692,2194
213.7,9,0.05,-1135.3963861700001,324,6401,59985,0.0001,0.16836747527122498,2496
217.32,9,0.05,-1154.85679874,328,6491,60841,0.0001,0.4440327286720276,2710
225.92,9,0.05,-1194.10292359,332,6687,62747,0.0001,0.41601601243019104,3186
233.3,9,0.05,-1210.78085119,336,6868,64499,0.0001,0.2230626940727234,3624
237.9,9,0.05,-1234.24455693,340,6992,65691,0.0001,0.28350767493247986,3922
235.32,9,0.05,-1239.26045167,344,7053,66253,0.0001,0.20540472865104675,4063
235.26,9,0.05,-1247.75846538,348,7125,66919,0.0001,0.16197270154953003,4229
246.16,9,0.05,-1291.88088066,352,7301,68631,0.0001,0.19774888455867767,4657
248.72,9,0.05,-1306.35465559,356,7383,69395,0.0001,0.24659129977226257,4848
247.08,9,0.05,-1287.56762129,360,7446,69975,0.0001,15.661078453063965,4993
249.5,9,0.05,-1289.5222356699999,364,7540,70869,0.0001,15.770275115966797,5217
248.0,9,0.05,-1278.23064835,368,7628,71695,0.0001,0.2060801386833191,5423
249.9,9,0.05,-1301.76738288,372,7738,72747,0.0001,0.29368773102760315,5686
263.66,9,0.05,-1340.2519751500001,376,7916,74477,0.0001,0.22625869512557983,6119
259.75,9,0.05,-1331.31128317,380,8010,75368,0.0001,0.26192718744277954,6341
264.91,9,0.05,-1338.7064807699999,384,8138,76592,0.0001,0.28378766775131226,6647
266.89,9,0.05,-1335.65659801,388,8228,77440,0.0001,0.12628954648971558,6859
261.41,9,0.05,-1321.78245728,392,8283,77940,0.0001,0.1041155457496643,6984
265.09,9,0.05,-1341.6873229000003,396,8473,79792,0.0001,0.18205294013023376,7447
274.17,9,0.05,-1354.7651851599994,400,8616,81166,0.0001,0.168191596865654,7791
273.79,9,0.05,-1343.26501582,404,8670,81660,0.0001,0.17686329782009125,7914
282.05,9,0.05,-1355.67083828,408,8870,83608,0.0001,15.351435661315918,8401
278.37,9,0.05,-1309.6375543499998,412,8985,84708,0.0001,0.27064967155456543,8676
282.67,9,0.05,-1323.21702385,416,9081,85616,0.0001,0.15405134856700897,8903
285.15,9,0.05,-1342.1964452099999,420,9254,87292,0.0001,0.1956125795841217,9322
277.36,9,0.05,-1349.2560887200004,424,9301,87721,0.0001,0.14418762922286987,9430
280.92,9,0.05,-1352.88726051,428,9428,88933,0.0001,0.16520366072654724,9733
270.22,9,0.05,-1329.0454734199998,432,9516,89769,0.0001,0.17305715382099152,9942
259.22,9,0.05,-1296.2039323899999,436,9586,90421,0.0001,0.21486032009124756,10105
270.2,9,0.05,-1355.8491482999996,440,9821,92711,0.0001,0.27099114656448364,10677
277.58,9,0.05,-1356.7578506300001,444,9956,94011,0.0001,0.2160417139530182,11002
283.36,9,0.05,-1344.0627313800005,448,10085,95255,0.0001,0.13743434846401215,11313
277.12,9,0.05,-1307.0126208200002,452,10199,96343,0.0001,0.1727067232131958,11585
273.28,9,0.05,-1287.0357432800001,456,10242,96723,0.0001,0.1699657440185547,11680
273.88,9,0.05,-1298.8077653300002,460,10311,97363,0.0001,0.21407142281532288,11840
281.1,9,0.05,-1325.4590083299997,464,10478,98979,0.0001,0.20532868802547455,12244
276.22,9,0.05,-1311.71424818,468,10516,99317,0.0001,0.16874507069587708,12329
283.2,9,0.05,-1342.77447305,472,10696,101067,0.0001,0.1730656623840332,12766
276.64,9,0.05,-1343.4879621699997,476,10809,102141,0.0001,0.17483142018318176,13035
279.51,9,0.05,-1355.59524299,480,10932,103319,0.0001,0.15275105834007263,13329
272.83,9,0.05,-1341.5144501000002,484,10993,103875,0.0001,0.12378239631652832,13468
284.41,9,0.05,-1386.6444865,488,11199,105881,0.0001,0.22409255802631378,13970
286.21,9,0.05,-1391.72474406,492,11272,106561,0.0001,0.1249978318810463,14140
276.73,9,0.05,-1356.0685162299997,496,11367,107465,0.0001,0.09846501797437668,14366
273.79,9,0.05,-1323.38053326,500,11480,108545,0.0001,0.15816745162010193,14636
277.21,9,0.05,-1340.72664624,504,11569,109381,0.0001,0.22431698441505432,14845
267.61,9,0.05,-1326.48341867,508,11673,110369,0.0001,15.485994338989258,15092
265.37,9,0.05,-1364.2783214500002,512,11765,111245,0.0001,0.16535194218158722,15311
261.19,9,0.05,-1353.1321127200001,516,11819,111735,0.0001,0.27825334668159485,15433
247.98,9,0.05,-1308.9846222,520,11860,112090,0.0001,0.20927192270755768,15522
249.59,9,0.05,-1317.15842125,524,11924,112680,0.0001,0.23869222402572632,15669
248.29,9,0.05,-1282.41445924,528,12037,113762,0.0001,0.11676070839166641,15940
245.99,9,0.05,-1247.45890677,532,12102,114368,0.0001,0.18003234267234802,16091
253.63,9,0.05,-1259.3845704000005,536,12249,115784,0.0001,15.054047584533691,16445
235.21,9,0.05,-1172.9046920699998,540,12299,116232,0.0001,0.1953045278787613,16557
232.15,9,0.05,-1192.4781581299999,544,12404,117226,0.0001,15.563072204589844,16806
230.01,9,0.05,-1228.61850934,548,12512,118256,0.0001,0.11765006184577942,17063
228.91,9,0.05,-1232.7116353199997,552,12615,119234,0.0001,0.12553143501281738,17308
229.73,9,0.05,-1231.02271141,556,12666,119696,0.0001,0.12851524353027344,17423
232.13,9,0.05,-1224.0640198800002,560,12759,120576,0.0001,0.24114079773426056,17643
228.81,9,0.05,-1237.34260334,564,12893,121860,0.0001,0.11177744716405869,17964
233.51,9,0.05,-1259.34417937,568,12979,122668,0.0001,0.23879194259643555,18166
224.94,9,0.05,-1182.2394138299999,572,13073,123561,0.0001,0.17239536345005035,18390
222.58,9,0.05,-1156.45373705,576,13162,124399,0.0001,0.18147151172161102,18599
224.64,9,0.05,-1145.39134814,580,13305,125783,0.0001,0.11479669064283371,18945
227.42,9,0.05,-1153.3928673199998,584,13394,126617,0.0001,0.09821918606758118,19154
214.88,9,0.05,-1107.5057071200001,588,13474,127369,0.0001,0.27422988414764404,19342
213.1,9,0.05,-1101.50125011,592,13529,127871,0.0001,0.14149776101112366,19467
215.16,9,0.05,-1105.607569,596,13645,128981,0.0001,0.09703659266233444,19745
213.89,9,0.05,-1106.17784519,600,13745,129934,0.0001,0.09161660075187683,19983
209.49,9,0.05,-1089.30674677,604,13790,130330,0.0001,0.29976141452789307,20082
203.43,9,0.05,-1066.8529826999998,608,13833,130712,0.0001,0.13037271797657013,20177
208.02,9,0.05,-1054.5297073299998,612,13972,132047,0.0001,0.15110109746456146,20511
209.14,9,0.05,-1053.03414728,616,14037,132649,0.0001,0.1486475020647049,20662
220.89,9,0.05,-1084.9905777300003,620,14195,134179,0.0001,0.24994245171546936,21044
222.1,9,0.05,-1087.48260881,624,14271,134890,0.0001,0.11432314664125443,21222
221.4,9,0.05,-1121.92357184,628,14377,135902,0.0001,15.036836624145508,21475
219.28,9,0.05,-1130.29368043,632,14422,136296,0.0001,0.1452898234128952,21573
212.52,9,0.05,-1115.93209597,636,14501,137036,0.0001,0.29907384514808655,21758
218.36,9,0.05,-1144.2786355599999,640,14609,138068,0.0001,0.2097242921590805,22016
212.53,9,0.05,-1111.6808677000001,644,14655,138479,0.0001,0.07277771830558777,22119
215.75,9,0.05,-1121.22001396,648,14796,139831,0.0001,0.07715294510126114,22457
218.89,9,0.05,-1105.34822218,652,14930,141123,0.0001,15.506056785583496,22780
223.73,9,0.05,-1103.21664037,656,15030,142069,0.0001,0.15692013502120972,23017
221.59,9,0.05,-1100.24247102,660,15101,142735,0.0001,0.12985214591026306,23183
217.59,9,0.05,-1043.26723868,664,15195,143619,0.0001,0.07557233422994614,23404
213.75,9,0.05,-1030.42677362,668,15242,144043,0.0001,0.24790151417255402,23510
209.64,9,0.05,-1041.1768369600002,672,15296,144525,0.0001,0.1153176873922348,23631
206.68,9,0.05,-1035.57449661,676,15355,145067,0.0001,0.0617339089512825,23766
197.28,9,0.05,-1007.4976436300001,680,15404,145511,0.0001,0.13440382480621338,23877
192.38,9,0.05,-991.7304230100001,684,15444,145855,0.0001,0.03253903239965439,23963
190.0,9,0.05,-985.2238871,688,15500,146369,0.0001,0.10039960592985153,24092
195.01,9,0.05,-976.42050197,692,15606,147372,0.0001,0.22481083869934082,24342
187.05,9,0.05,-945.81944679,696,15642,147686,0.0001,0.1000409722328186,24421
187.04,9,0.05,-984.30009796,700,15742,148638,0.0001,0.1346302330493927,24659
189.31,9,0.05,-988.0531805399997,704,15810,149261,0.0001,14.297608375549316,24815
193.79,9,0.05,-991.3772657,708,15898,150091,0.0001,0.39234408736228943,25022
190.0,9,0.05,-991.5047328600001,712,15998,151047,0.0001,0.2364320605993271,25261
193.3,9,0.05,-1011.0078226800001,716,16097,151979,0.0001,0.10196267068386078,25494
187.94,9,0.05,-993.5446139899999,720,16201,152973,0.0001,0.24702419340610504,25743
191.38,9,0.05,-988.5866803199999,724,16312,154028,0.0001,0.142345130443573,26006
186.16,9,0.05,-973.3102293000001,728,16366,154518,0.0001,0.08305379748344421,26129
185.36,9,0.05,-976.7094084700001,732,16402,154832,0.0001,0.07213779538869858,26207
187.94,9,0.05,-975.2893403799999,736,16507,155830,0.0001,0.07162991166114807,26457
183.58,9,0.05,-954.0069681,740,16571,156426,0.0001,0.11171393096446991,26606
189.41,9,0.05,-979.4866694400001,744,16676,157420,0.0001,0.0852677971124649,26854
188.61,9,0.05,-958.6005034500001,748,16808,158692,0.0001,0.05188818275928497,27172
184.55,9,0.05,-955.5795632799999,752,16902,159578,0.0001,0.0819975882768631,27394
185.31,9,0.05,-970.3653220499999,756,17009,160600,0.0001,0.27844351530075073,27649
185.75,9,0.05,-973.5140691000001,760,17085,161310,0.0001,0.22580423951148987,27827
182.79,9,0.05,-989.5069895699999,764,17149,161898,0.0001,0.1821766197681427,27974
187.07,9,0.05,-999.6010996,768,17239,162750,0.0001,0.21175280213356018,28187
197.07,9,0.05,-1056.4305113300002,772,17393,164232,0.0001,0.052121058106422424,28557
204.99,9,0.05,-1089.74750693,776,17531,165566,0.0001,0.10734471678733826,28891
207.97,9,0.05,-1102.20382666,780,17611,166308,0.0001,0.06571479141712189,29076
211.31,9,0.05,-1113.37411841,784,17684,166986,0.0001,30.42807960510254,29246
221.53,9,0.05,-1157.7286760599998,788,17842,168522,0.0001,0.09077228605747223,29630
217.08,9,0.05,-1163.3448816700002,792,17903,169080,0.0001,14.114195823669434,29769
219.04,9,0.05,-1166.14979128,796,17959,169590,0.0001,0.15714986622333527,29897
218.3,9,0.05,-1168.14880196,800,18052,170468,0.0001,0.21989679336547852,30116
222.11,9,0.05,-1180.37986415,804,18157,171472,0.0001,0.1450345367193222,30367
225.14,9,0.05,-1224.3377860399999,808,18276,172605,0.0001,0.0795808956027031,30651
224.2,9,0.05,-1224.07941735,812,18367,173467,0.0001,0.09938019514083862,30866
229.5,9,0.05,-1232.85724586,816,18518,174929,0.0001,0.10514192283153534,31232
223.94,9,0.05,-1212.0905124199999,820,18567,175367,0.0001,0.19324670732021332,31341
219.02,9,0.05,-1189.02560813,824,18629,175930,0.0001,0.06565258651971817,31482
218.02,9,0.05,-1180.85153965,828,18673,176320,0.0001,14.946212768554688,31579
226.37,9,0.05,-1172.4676785099998,832,18793,177469,0.0001,0.21946316957473755,31867
223.43,9,0.05,-1166.09009548,836,18868,178173,0.0001,0.12089739739894867,32043
223.12,9,0.05,-1172.80019514,840,18930,178738,0.0001,0.09493853151798248,32184
223.84,9,0.05,-1181.0489745500001,844,19042,179804,0.0001,0.10203616321086884,32450
222.44,9,0.05,-1192.29371222,848,19160,180936,0.0001,0.21536758542060852,32733
