time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates
76,661.12,-2277.07533943,9,16043,155648,0.008678852,668.1326209068299,0.0003,-2.3226192630827427,0.077978515625,-0.023992420412832872,0.2,0.8433414399623871,87.19993591308594,750
77,671.06,-2276.40995261,9,16252,157696,0.013650552,228.12248549461364,0.0003,-2.3135278038680553,0.180126953125,-0.03557245106785558,0.2,0.845647931098938,206.29986572265625,760
78,671.62,-2246.8955232800004,9,16461,159744,0.008634694,139.36075996160508,0.0003,-2.2850354336202146,0.1017578125,-0.024513828224735336,0.2,0.004046738147735596,101.26146697998047,770
79,666.33,-2217.1073089100005,9,16672,161792,0.003250496,5719.505355215073,0.0003,-2.339682160317898,0.002392578125,-0.004391877914895303,0.2,0.20483291149139404,15170.4306640625,780
80,666.25,-2226.74378349,9,16881,163840,0.005322261,1162.081736946106,0.0003,-2.2881512120366096,0.016650390625,-0.0075977278145728635,0.2,0.5386234521865845,892.2584228515625,790
81,661.72,-2189.0252727800003,9,17093,165888,0.0068396325,348.3889151215553,0.0003,-2.226419223099947,0.046630859375,-0.01563847678771708,0.2,0.10164934396743774,65.43243408203125,800
82,660.71,-2211.0804032900005,9,17302,167936,0.0045165606,5370.683195352554,0.0003,-2.2127870745956897,0.025,-0.004602944024372846,0.2,0.4504808783531189,538.8247680664062,810
83,658.72,-2210.7191469199997,9,17512,169984,0.0063899583,819.7016938209533,0.0003,-2.2175208032131195,0.055712890625,-0.014851677228580228,0.2,0.8793627247214317,156.2727508544922,820
84,667.06,-2199.45187574,9,17721,172032,0.0059883352,268.24478857517244,0.0003,-2.191394377499819,0.02958984375,-0.014285089468467049,0.2,0.9560511931777,63.73478698730469,830
85,668.24,-2233.5473858299997,9,17931,174080,0.007683588,533.9828856348992,0.0003,-2.201815813779831,0.039208984375,-0.013081422439427115,0.2,0.8522612899541855,108.28660583496094,840
86,671.8,-2225.1375514399997,9,18141,176128,0.0048364867,607.7841596841812,0.0003,-2.2268788151443006,0.005908203125,-0.009269923983083572,0.2,0.8599109649658203,457.35394287109375,850
87,677.67,-2225.25921929,9,18350,178176,0.0051511223,624.8343086242676,0.0003,-2.141442232578993,0.021826171875,-0.0125906391243916,0.2,0.5215391516685486,39.30417251586914,860
88,682.72,-2245.43733828,9,18560,180224,0.007875376,385.9265212774277,0.0003,-2.168348379433155,0.054833984375,-0.014326916926074773,0.2,0.9157031774520874,267.85467529296875,870
89,684.51,-2250.17386105,9,18769,182272,0.007465968,402.9541122198105,0.0003,-2.1226668749004602,0.05625,-0.015644630839233287,0.2,0.6840293705463409,64.24600219726562,880
90,689.91,-2249.93134679,9,18978,184320,0.005961929,388.4904811501503,0.0003,-2.1511587888002395,0.037939453125,-0.012133553969033529,0.2,0.8669300079345703,63.56468200683594,890
91,698.98,-2267.98893595,9,19188,186368,0.0081838695,220.20729830265046,0.0003,-2.1609905257821085,0.0623046875,-0.017428200316498988,0.2,0.9103346690535545,145.08824157714844,900
92,699.86,-2253.7744703,9,19397,188416,0.0068699038,593.6676753759384,0.0003,-2.1534720733761787,0.046484375,-0.01570919462101301,0.2,0.8726271837949753,621.7664184570312,910
93,707.1,-2255.42911286,9,19608,190464,0.00838941,150.12515312433243,0.0003,-2.111070691794157,0.073974609375,-0.0191978254559217,0.2,0.9025424420833588,28.85604476928711,920
94,704.27,-2208.9586471400007,9,19818,192512,0.007234848,661.305203962326,0.0003,-2.120955144613981,0.074560546875,-0.019987153008696624,0.2,0.7574884742498398,131.52223205566406,930
95,703.14,-2229.81921349,9,20027,194560,0.0053588515,5389.351030111313,0.0003,-2.1470837377011778,0.03017578125,-0.008153944250079804,0.2,0.5949190855026245,7422.974609375,940
96,699.87,-2199.5844457000003,9,20238,196608,0.008015983,636.4331353664398,0.0003,-2.097869034856558,0.05107421875,-0.013987460364296567,0.2,0.8538668155670166,175.8501739501953,950
97,705.41,-2218.7230685699997,9,20449,198656,0.003428054,3923.1889733314515,0.0003,-2.053516426682472,0.008349609375,-0.00601520318450639,0.2,0.6617415547370911,378.85931396484375,960
98,715.78,-2256.12554633,9,20659,200704,0.005860135,611.4685103654862,0.0003,-2.097069012746215,0.020703125,-0.011207880679285154,0.2,0.864971712231636,362.2062072753906,970
99,715.78,-2265.9466006499997,9,20868,202752,0.0042984067,4948.090049171447,0.0003,-2.1239068277180193,0.0080078125,-0.0064444136820384305,0.2,0.39710021018981934,367.9637756347656,980
100,705.99,-2222.0431535599996,9,21079,204800,0.0076608164,475.17313826084137,0.0003,-2.1188502203673125,0.048388671875,-0.014813913201214746,0.2,0.8428265303373337,67.04911804199219,990
101,708.29,-2225.44114257,9,21288,206848,0.0075485683,994.8538173675537,0.0003,-2.133134904503822,0.04150390625,-0.012179895394365304,0.2,0.8423650711774826,573.827392578125,1000
102,705.72,-2103.34940229,9,21501,208896,0.004898728,957.2247395515442,0.0003,-2.099478343129158,0.036767578125,-0.010395273909671232,0.2,0.7755117565393448,101.83235168457031,1010
