train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
707066,-647.1611574333332,9,7567,60,0.35103172063827515,404.1764831542969,-0.00913381576538086,126.11666666666666,432.5999450683594,0.0003,834
707460,-576.275706953125,9,7961,64,0.3478395342826843,361.1417541503906,-0.1656666100025177,124.390625,859.577392578125,0.0003,878
707765,-486.53305420588237,9,8266,68,0.34361401200294495,370.874755859375,0.10876214504241943,121.55882352941177,481.2733459472656,0.0003,914
708233,-461.3910094722222,9,8734,72,0.3332839608192444,304.9162292480469,0.16622301936149597,121.30555555555556,639.1016845703125,0.0003,966
708803,-415.75761446052627,9,9304,76,0.3215253949165344,303.55926513671875,-0.27065175771713257,122.42105263157895,374.59832763671875,0.0003,1028
709909,-464.1490513250001,9,10410,80,0.30828845500946045,359.43603515625,0.2525182068347931,130.125,496.33367919921875,0.0003,1144
710587,-497.1875049404763,9,11088,84,0.3158732056617737,372.6742248535156,0.07823342084884644,132.0,424.00238037109375,0.0003,1217
711069,-521.2396891136364,9,11570,88,0.31005042791366577,403.0466613769531,0.1228342205286026,131.47727272727272,570.8232421875,0.0003,1270
711527,-536.9495324782608,9,12028,92,0.30786946415901184,413.05560302734375,-0.10997086763381958,130.7391304347826,362.9789733886719,0.0003,1321
712315,-524.3098052291667,9,12816,96,0.3081902861595154,379.474853515625,-0.1357014775276184,133.5,466.4176025390625,0.0003,1405
713013,-534.66423853,9,13514,100,0.29918399453163147,349.51904296875,-0.26439350843429565,135.14,281.6023864746094,0.0003,1480
713429,-518.4785128500001,9,13930,104,0.2984413206577301,350.4019775390625,-0.0291764996945858,134.17,302.5901184082031,0.0003,1527
714043,-472.3600364800001,9,14544,108,0.29290685057640076,437.804931640625,-0.4122539758682251,129.47,227.68280029296875,0.0003,1593
714736,-460.6524604099999,9,15237,112,0.2931707203388214,349.147216796875,0.0747213289141655,131.0,309.8214416503906,0.0003,1668
715383,-460.99197316000004,9,15884,116,0.29077497124671936,339.16265869140625,-0.1895109862089157,129.81,333.77215576171875,0.0003,1738
715799,-427.27736666000004,9,16300,120,0.2881758511066437,316.68792724609375,0.12280876189470291,127.91,344.0958251953125,0.0003,1785
716300,-403.11960002,9,16801,124,0.2827397286891937,306.8532409667969,0.02744060754776001,127.85,376.3661804199219,0.0003,1840
716912,-390.30198519,9,17413,128,0.2797035276889801,346.0686950683594,0.05068165436387062,130.47,342.1205139160156,0.0003,1906
717466,-359.99841667,9,17967,132,0.2772672474384308,337.65911865234375,-0.08258461952209473,131.57,321.22955322265625,0.0003,1967
717888,-311.01942382,9,18389,136,0.27508145570755005,306.9596862792969,0.018682315945625305,131.45,298.9576110839844,0.0003,2014
718354,-298.31203330000005,9,18855,140,0.27368584275245667,338.0976257324219,-0.09484244883060455,132.51,275.76690673828125,0.0003,2066
718946,-263.30685323,9,19447,144,0.2779143452644348,373.4392395019531,-0.10726073384284973,133.79,549.5160522460938,0.0003,2130
719333,-229.93597867999995,9,19834,148,0.27635249495506287,290.5919189453125,0.28735780715942383,133.76,373.6080322265625,0.0003,2174
720039,-200.53010435,9,20540,152,0.27649378776550293,297.54547119140625,-0.437698096036911,135.9,350.34259033203125,0.0003,2250
720564,-226.01586880000002,9,21065,156,0.2779783308506012,252.66517639160156,0.07560506463050842,138.0,429.8598327636719,0.0003,2308
721109,-180.62294319999998,9,21610,160,0.27961230278015137,291.0759582519531,0.12732107937335968,140.43,435.24920654296875,0.0003,2367
721582,-186.45686984000002,9,22083,164,0.27905556559562683,322.2180480957031,-0.4761262834072113,141.22,272.247802734375,0.0003,2419
721929,-237.8517053600001,9,22430,168,0.2808658480644226,292.0030212402344,-0.007091239094734192,141.64,358.5276794433594,0.0003,2459
