rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/std,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/learning_rate,train/n_updates
432.97317334,7707,63.13,63488,31,8,0.3056904673576355,0.2,0.0051087337,-0.4657408818602562,0.8576711565256119,11849.287376403809,-0.006153438298497349,5345.0927734375,0.0513671875,0.0003,9620
384.91936337,7955,64.17,65536,32,8,0.30611860752105713,0.2,0.0044468623,-0.4667053382843733,0.7633301764726639,18167.131721496582,-0.006170260146609508,3864.902587890625,0.03232421875,0.0003,9630
401.08851638,8205,63.47,67584,33,8,0.30570629239082336,0.2,0.007858113,-0.4668991960585117,0.8662199825048447,12782.93637008667,-0.0075130363053176556,3636.35888671875,0.063671875,0.0003,9640
418.99153920000003,8453,62.05,69632,34,8,0.3057553172111511,0.2,0.0067254743,-0.4654928743839264,0.8866553604602814,15375.485109710693,-0.003245570602302905,5099.7822265625,0.037060546875,0.0003,9650
506.51593292999996,8696,64.94,71680,35,8,0.30597153306007385,0.2,0.005409089,-0.4660775814205408,0.8884695991873741,8399.608335494995,-0.005813708095229231,2660.751708984375,0.037109375,0.0003,9660
550.8337586399999,8942,65.82,73728,36,8,0.30603814125061035,0.2,0.012405791,-0.46761233992874623,0.8639518171548843,9554.024700927734,-0.006766961005632765,3477.575927734375,0.05166015625,0.0003,9670
594.5517409500001,9186,67.4,75776,37,8,0.30613529682159424,0.2,0.0041689947,-0.4677023820579052,0.7774637639522552,10403.495233917236,-0.003953433860442601,1873.30712890625,0.062548828125,0.0003,9680
478.61412863,9439,63.84,77824,38,8,0.3062000870704651,0.2,0.0058728345,-0.46854043900966647,0.880229152739048,9777.739479064941,-0.008110952044080477,1388.2855224609375,0.044189453125,0.0003,9690
481.33670456,9688,62.32,79872,39,8,0.3060457706451416,0.2,0.0061386917,-0.4681270867586136,0.8713409155607224,13665.981060028076,-0.006785578397102654,5249.20703125,0.06748046875,0.0003,9700
452.56953597,9934,60.79,81920,40,8,0.3062017560005188,0.2,0.01027241,-0.4679456721991301,0.8818491101264954,8424.644495391845,-0.005171813885681331,1397.5643310546875,0.087158203125,0.0003,9710
465.176284,10181,63.07,83968,41,8,0.3058187961578369,0.2,0.0062288335,-0.4676756333559752,0.8971012756228447,7309.134503173828,-0.003576972908922471,1332.26025390625,0.03994140625,0.0003,9720
533.5223390499999,10424,66.7,86016,42,8,0.3060239553451538,0.2,0.0075841714,-0.46663390658795834,0.8141636401414871,11526.311947631835,-0.008100718903006055,4767.94775390625,0.072265625,0.0003,9730
576.7625402900001,10667,68.57,88064,43,8,0.30594003200531006,0.2,0.006841208,-0.46720041185617445,0.9059079959988594,4923.638503837586,-0.007477785306400619,1643.4171142578125,0.066748046875,0.0003,9740
665.5531532199999,10910,69.53,90112,44,8,0.30579090118408203,0.2,0.010335011,-0.4665849465876818,0.815643236041069,8773.760956382752,-0.004712504640338011,2516.54736328125,0.077099609375,0.0003,9750
639.73450715,11157,67.1,92160,45,8,0.3076655864715576,0.2,0.026663978,-0.4730567097663879,0.896956704556942,1314.603305387497,-0.002931812684983015,329.1421813964844,0.181494140625,0.0003,9760
594.5776484000002,11404,66.74,94208,46,8,0.3077271580696106,0.2,0.0067769177,-0.47869118191301824,0.7466742694377899,11262.519721603394,-0.004041184924426488,3239.85986328125,0.07744140625,0.0003,9770
493.81512912000005,11653,64.0,96256,47,8,0.30773085355758667,0.2,0.006371882,-0.4790904317051172,0.7634974867105484,20910.460887908936,-0.006829703546827659,2545.51025390625,0.074072265625,0.0003,9780
491.4803949,11900,64.52,98304,48,8,0.3076673746109009,0.2,0.008171571,-0.47884125635027885,0.8164634108543396,13659.665993499755,-0.0065743837651098145,4903.0869140625,0.04951171875,0.0003,9790
523.3352300600001,12146,63.21,100352,49,8,0.3081601858139038,0.2,0.005073461,-0.4801254224032164,0.8496184796094894,13855.021577453614,-0.0050747983579640275,2026.43310546875,0.035302734375,0.0003,9800
