time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss
91,196.75,19307,9,581.67816031,186368,-0.0040091041722916994,0.2,8486.5595703125,0.043701171875,0.9153821468353271,16175.64881362915,0.5595733523368835,900,0.0003,0.0047186734,-2.663362327963114
92,188.57,19532,9,575.89879768,188416,-0.004492890226538293,0.2,7153.67724609375,0.014794921875,0.9158073663711548,22997.899780273438,0.4592006206512451,910,0.0003,0.003484134,-2.6603829734027387
93,178.84,19755,9,629.83821556,190464,-0.00441266012203414,0.2,14999.263671875,0.019873046875,0.9118350744247437,28427.087954711915,0.3303980231285095,920,0.0003,0.0038935503,-2.657215029746294
94,166.69,19975,9,687.1095598699999,192512,-0.005082570912782103,0.2,16101.404296875,0.0619140625,0.901085615158081,25189.967779541017,0.27027428150177,930,0.0003,0.0083167795,-2.6414848499000074
95,167.58,20199,9,670.5190164499999,194560,-0.0033114471822045743,0.2,8928.6865234375,0.022900390625,0.8974781036376953,20995.75320739746,0.3773714303970337,940,0.0003,0.0045926035,-2.6247005879879
96,163.89,20421,9,709.3609986299999,196608,-0.005029004134121351,0.2,12376.421875,0.0453125,0.9000484347343445,22413.517193603515,0.37205928564071655,950,0.0003,0.0066556535,-2.623054790496826
97,153.65,20647,9,769.0499602299999,198656,-0.00358550333767198,0.2,8750.0283203125,0.0236328125,0.8974121809005737,23041.025640869142,0.38553524017333984,960,0.0003,0.0038458593,-2.623759186267853
98,153.06,20869,9,786.6777709999998,200704,-0.0033211999107152224,0.2,11225.548828125,0.012939453125,0.8916845321655273,26784.79378051758,0.3501059412956238,970,0.0003,0.0024476768,-2.6135334618389607
99,150.64,21093,9,796.56120701,202752,-0.006151264917571097,0.2,7674.4951171875,0.03359375,0.8883893489837646,19127.292937469483,0.4303972125053406,980,0.0003,0.0051238323,-2.605380941182375
100,149.96,21318,9,797.2596963999999,204800,-0.005349810645566322,0.2,15257.5595703125,0.0568359375,0.8793885111808777,20049.429235839845,0.3719410300254822,990,0.0003,0.007319792,-2.5918599478900433
101,141.44,21546,9,817.2118269799998,206848,-0.0034924325300380588,0.2,9380.810546875,0.0341796875,0.8751946091651917,23272.890042114257,0.39660340547561646,1000,0.0003,0.00346505,-2.5743868656456472
102,136.47,21775,9,835.89084499,208896,-0.005874023714568466,0.2,13366.7373046875,0.055615234375,0.8678296804428101,25039.56885070801,0.4401513338088989,1010,0.0003,0.0058609815,-2.559983890503645
103,136.15,21997,9,836.16388518,210944,-0.0022642489377176387,0.2,14893.3271484375,0.0287109375,0.8612070679664612,25554.373486328124,0.4358093738555908,1020,0.0003,0.0038928662,-2.545535968989134
104,128.62,22228,9,856.21535146,212992,-0.0035059327958151696,0.2,13789.849609375,0.02919921875,0.8499702215194702,19438.669569396974,0.32095766067504883,1030,0.0003,0.0043487623,-2.5237922869622706
105,122.96,22455,9,866.8369413799999,215040,-0.004025773449393455,0.2,11598.86328125,0.045166015625,0.8446707129478455,25119.79751586914,0.443409264087677,1040,0.0003,0.0062249294,-2.50307734683156
106,117.53,22687,9,887.29241684,217088,-0.003099724337516818,0.2,7125.32373046875,0.033740234375,0.8514604568481445,22868.942901611328,0.4056659936904907,1050,0.0003,0.0057273186,-2.5047041051089765
107,114.11,22918,9,892.34640466,219136,-0.002407512853096705,0.2,7775.5810546875,0.018017578125,0.8487693667411804,26341.421716308592,0.4027711749076843,1060,0.0003,0.0026995023,-2.5110337562859057
108,110.31,23150,9,895.1546124000001,221184,-0.002028194966260344,0.2,10099.63671875,0.01474609375,0.8416453003883362,25674.996850585936,0.4074302315711975,1070,0.0003,0.0029266337,-2.4987278267741204
109,103.52,23383,9,900.97606903,223232,-0.004661225201562047,0.2,8354.0673828125,0.03173828125,0.8415653109550476,25514.715336608886,0.4183979630470276,1080,0.0003,0.004586615,-2.4884708888828753
