train/n_updates,train/learning_rate,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
600311,0.0003,200712,-310.8119812011719,-0.01901569403707981,1844,8,22470,111.67,713.0336303710938,833.8284705500002,0.38188594579696655
600724,0.0003,201125,-256.9462890625,-0.11050523817539215,1848,8,22517,111.28,897.9970703125,834.5328929400001,0.3878825604915619
601121,0.0003,201522,-313.020751953125,0.01802089810371399,1852,8,22562,110.29,1765.3013916015625,836.6787692400001,0.3887300491333008
601508,0.0003,201909,-264.66937255859375,-0.030858159065246582,1856,8,22605,110.16,857.3157958984375,837.6966329500001,0.37694045901298523
601994,0.0003,202395,-257.6558837890625,0.034180670976638794,1860,8,22659,111.31,1702.9833984375,835.6645818499998,0.36655351519584656
602422,0.0003,202823,-286.0616760253906,-0.058003202080726624,1864,8,22707,111.79,767.991943359375,848.3582011500001,0.39019539952278137
602823,0.0003,203224,-259.62786865234375,0.1306619942188263,1868,8,22753,111.66,892.058837890625,850.3673585,0.3803099989891052
603229,0.0003,203630,-284.10125732421875,-0.054806776344776154,1872,8,22798,110.53,876.125732421875,850.84273143,0.38666465878486633
603618,0.0003,204019,-285.38189697265625,0.18809416890144348,1876,8,22842,109.05,813.56103515625,852.95246816,0.39180997014045715
604002,0.0003,204403,-287.2752685546875,0.3226143419742584,1880,8,22886,108.83,1017.9759521484375,868.66664311,0.40217751264572144
604463,0.0003,204864,-289.1201171875,-0.07954049855470657,1884,8,22937,108.91,1029.30908203125,868.13111814,0.39599382877349854
604879,0.0003,205280,-285.08807373046875,-0.13406693935394287,1888,8,22984,108.43,845.4417724609375,869.6332016000001,0.3795775771141052
605314,0.0003,205715,-316.64263916015625,0.050496820360422134,1892,8,23033,108.71,791.105224609375,867.3559247600001,0.36038103699684143
605704,0.0003,206105,-279.3736572265625,-0.06267441064119339,1896,8,23077,107.75,1030.902099609375,869.6202684599999,0.3699728548526764
606131,0.0003,206532,-283.52392578125,0.3032078146934509,1900,8,23125,107.78,615.282958984375,869.7157842299999,0.3731217086315155
606594,0.0003,206995,-276.8033447265625,-0.04378894716501236,1904,8,23176,108.06,1381.9400634765625,869.68647637,0.3799963891506195
607004,0.0003,207405,-314.89385986328125,-0.16123870015144348,1908,8,23223,107.29,657.1239013671875,871.5983444299999,0.38715294003486633
607473,0.0003,207874,-284.90692138671875,0.01687489077448845,1912,8,23275,106.68,1221.9571533203125,872.177718,0.38382378220558167
607966,0.0003,208367,-310.6097412109375,0.11461721360683441,1916,8,23329,107.29,966.17822265625,871.4027962600001,0.37812238931655884
608427,0.0003,208828,-300.992919921875,0.2940770983695984,1920,8,23381,108.18,879.982421875,869.7753715100001,0.3955610394477844
608800,0.0003,209201,-283.8771057128906,-0.1984257698059082,1924,8,23423,107.64,796.0436401367188,856.5563532100001,0.3854249119758606
609262,0.0003,209663,-272.5084228515625,-0.08922559022903442,1928,8,23475,106.78,806.3568115234375,856.6750450200002,0.39005520939826965
609761,0.0003,210162,-335.5962219238281,0.22377325594425201,1932,8,23530,106.75,1126.5936279296875,871.3918465300001,0.3860870897769928
610224,0.0003,210625,-333.0912780761719,-0.18122713267803192,1936,8,23581,106.94,1088.960205078125,869.7288789000002,0.3882569372653961
610669,0.0003,211070,-307.88043212890625,-0.2191421389579773,1940,8,23631,107.22,1478.397216796875,869.3260145299998,0.38630804419517517
611215,0.0003,211616,-305.6924133300781,0.024876054376363754,1944,8,23691,109.04,1623.557373046875,866.03371803,0.3828033208847046
611654,0.0003,212055,-274.1197814941406,0.14369362592697144,1948,8,23740,109.3,741.7138061523438,866.3413576600001,0.38206177949905396
612014,0.0003,212415,-292.7909240722656,0.0027637146413326263,1952,8,23781,108.93,1219.471435546875,866.7334449800001,0.3752191960811615
612391,0.0003,212792,-296.2891845703125,0.1352781504392624,1956,8,23824,108.83,1778.5389404296875,850.4484414300001,0.37497037649154663
