time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/std,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss
96256,312.32806322000005,10338,191.29,47,9,0.6715283393859863,0.0003,0.2,0.9135857373476028,1273.9139404296875,0.014013671875,3890,-0.007488092765561305,4099.3429691314695,0.0041096434,-2.040420950204134
98304,279.96196798,10559,183.76,48,9,0.6705089807510376,0.0003,0.2,0.8071573972702026,3505.848388671875,0.010400390625,3900,-0.004409306647721678,10612.345460510254,0.0025584293,-2.033298099040985
100352,292.49248378000004,10783,180.71,49,9,0.6683228015899658,0.0003,0.2,0.9099149405956268,2779.260009765625,0.012841796875,3910,-0.0059659241713234225,7008.542585372925,0.003298583,-2.0281371898949145
102400,323.83001752,10997,173.39,50,9,0.6681346893310547,0.0003,0.2,0.8545892685651779,5305.17236328125,0.013720703125,3920,-0.005995464569423348,9067.19291152954,0.00337871,-2.0241796843707562
104448,317.53697553,11221,173.23,51,9,0.6661316156387329,0.0003,0.2,0.8722268790006638,666.1181030273438,0.019921875,3930,-0.006287468640948646,3504.427865600586,0.004788856,-2.021225585788488
106496,341.069983,11445,165.7,52,9,0.6647710204124451,0.0003,0.2,0.9326994717121124,1515.77392578125,0.0326171875,3940,-0.006908359815133736,5007.132341766357,0.0034981482,-2.0168960347771643
108544,354.93381525000007,11663,174.09,53,9,0.6656345725059509,0.0003,0.2,0.8896730691194534,3850.425537109375,0.060888671875,3950,-0.00906395266065374,8032.0691822052,0.0054435316,-2.015830232203007
110592,353.06837247,11886,174.25,54,9,0.6664212942123413,0.0003,0.2,0.7721967846155167,3256.77587890625,0.00693359375,3960,-0.004070514735212782,8757.157456207275,0.0026469044,-2.018266935646534
112640,327.55633985,12104,168.81,55,9,0.6668960452079773,0.0003,0.2,0.9021876454353333,1109.87353515625,0.03798828125,3970,-0.007097393617732451,4864.839107894897,0.0047637783,-2.020706072449684
114688,289.33848195,12323,179.59,56,9,0.6668779850006104,0.0003,0.2,0.8440974652767181,2750.677001953125,0.017919921875,3980,-0.006682599475607276,5859.528921508789,0.0036938782,-2.0216668479144575
116736,307.90472405,12540,186.65,57,9,0.6647067070007324,0.0003,0.2,0.8238258808851242,3328.11962890625,0.021435546875,3990,-0.005928389771725051,7587.325271224976,0.0034555811,-2.019318111985922
118784,257.06808236999996,12764,186.87,58,9,0.6636369228363037,0.0003,0.2,0.8809031322598457,3190.055908203125,0.013525390625,4000,-0.004150266735814511,5404.847510147095,0.0033736168,-2.0147348783910273
120832,247.49998871000003,12981,183.42,59,9,0.6625286340713501,0.0003,0.2,0.8609604090452194,2375.02001953125,0.032958984375,4010,-0.006933310134627391,9440.57972946167,0.0034369312,-2.012163455039263
122880,235.5471171,13201,187.64,60,9,0.661441445350647,0.0003,0.2,0.8663856089115143,1816.4193115234375,0.020947265625,4020,-0.006181877099152189,4577.419056510926,0.0033730255,-2.0083475194871427
124928,240.22718315999998,13424,191.88,61,9,0.6605193018913269,0.0003,0.2,0.9274394437670708,1063.650390625,0.032470703125,4030,-0.007068076339783147,4295.3075902938845,0.0038635968,-2.005661264806986
126976,280.59924931999996,13644,189.24,62,9,0.6598603129386902,0.0003,0.2,0.9143162071704865,1066.8826904296875,0.021923828125,4040,-0.006612316306564026,3326.519429588318,0.0048230384,-2.0026909671723843
