time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,0.05,508,9508,88680,-439.79180827000005,186.19,0.5600842237472534,0.0001,172169
9,0.05,512,9576,89310,-396.98669970000003,177.86,0.8112765550613403,0.0001,172327
9,0.05,516,9614,89638,-401.37490679,177.36,0.3951151371002197,0.0001,172409
9,0.05,520,9649,89939,-381.40904158999996,168.21,0.8595813512802124,0.0001,172484
9,0.05,524,9689,90289,-421.10947463,168.63,12.118428230285645,0.0001,172572
9,0.05,528,9846,91804,-407.2909341300001,179.54,0.8043420314788818,0.0001,172950
9,0.05,532,9880,92092,-375.85132019,173.24,0.6131216883659363,0.0001,173022
9,0.05,536,9926,92503,-345.4613447399999,173.92,0.5733946561813354,0.0001,173125
9,0.05,540,9974,92934,-338.26199299,171.71,0.7214345932006836,0.0001,173233
9,0.05,544,10051,93655,-326.89207374,175.73,0.4386180639266968,0.0001,173413
9,0.05,548,10107,94163,-319.20696841999995,172.49,0.9762589931488037,0.0001,173540
9,0.05,552,10154,94583,-320.77475047,173.34,0.6033735275268555,0.0001,173645
9,0.05,556,10225,95241,-327.54700348999995,171.83,0.9236040711402893,0.0001,173810
9,0.05,560,10277,95713,-346.16008768,168.88,0.5214150547981262,0.0001,173928
9,0.05,564,10326,96151,-362.5138880799999,168.09,0.5474185943603516,0.0001,174037
9,0.05,568,10388,96715,-408.42298367999996,169.68,0.4876520335674286,0.0001,174178
9,0.05,572,10473,97513,-461.46605145000007,173.74,0.6964568495750427,0.0001,174378
9,0.05,576,10534,98074,-441.46764723,174.11,9.001873016357422,0.0001,174518
9,0.05,580,10597,98655,-410.0916817600001,165.54,0.4473832845687866,0.0001,174663
9,0.05,584,10633,98964,-412.19186979000006,161.19,0.9287186861038208,0.0001,174740
9,0.05,588,10738,99963,-395.78998881,166.42,0.5580319166183472,0.0001,174990
9,0.05,592,10772,100255,-411.5184089,156.52,12.689956665039062,0.0001,175063
9,0.05,596,10834,100820,-397.00896507,143.86,0.7782803177833557,0.0001,175204
9,0.05,600,10908,101510,-367.87641369000005,147.0,15.372563362121582,0.0001,175377
9,0.05,604,10971,102093,-335.35321260000006,139.15,0.7433360815048218,0.0001,175523
9,0.05,608,11030,102625,-319.10344220999997,139.45,0.46626749634742737,0.0001,175656
9,0.05,612,11076,103041,-338.80112338,137.31,0.7091712951660156,0.0001,175760
9,0.05,616,11126,103488,-305.49088573999995,138.5,0.5973430871963501,0.0001,175871
