time/time_elapsed,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
13274,6.804380893707275,0.1745537370443344,245.4095001220703,529.2246384599999,923844,9,668,0.0003,171.59,124145,-0.19976560771465302
13347,-9.074382781982422,0.17371292412281036,153.35931396484375,536.0310819700001,924521,9,672,0.0003,169.01,124822,0.2124081552028656
13420,-46.214351654052734,0.17412859201431274,185.60401916503906,514.96731434,925192,9,676,0.0003,170.56,125493,0.44689634442329407
13495,-10.688861846923828,0.1775486022233963,194.44314575195312,514.5181278700001,925897,9,680,0.0003,170.23,126198,0.10552240908145905
13571,-1.5877761840820312,0.1780981421470642,174.060302734375,497.7044290900001,926601,9,684,0.0003,169.86,126902,0.11341424286365509
13651,-16.4959716796875,0.17487788200378418,139.0835723876953,484.30952894000006,927358,9,688,0.0003,169.68,127659,-0.16933390498161316
13714,-37.37779235839844,0.1701064109802246,305.31134033203125,472.10553276999997,927928,9,692,0.0003,168.69,128229,0.44739633798599243
13809,-26.32843017578125,0.1716136634349823,285.9238586425781,466.18453883999996,928825,9,696,0.0003,169.92,129126,-0.20784100890159607
13884,-21.191862106323242,0.17014466226100922,273.6885986328125,474.09049604,929525,9,700,0.0003,167.7,129826,-0.16429659724235535
13948,-37.25666046142578,0.17227187752723694,153.22642517089844,471.2870040299999,930115,9,704,0.0003,168.94,130416,-0.24488522112369537
14037,-3.699108123779297,0.1675444096326828,188.81207275390625,477.68598325,930954,9,708,0.0003,169.89,131255,-0.12133793532848358
14119,-3.6676344871520996,0.16840513050556183,147.89096069335938,463.9415531,931721,9,712,0.0003,174.49,132022,-0.06956326216459274
14204,-102.43278503417969,0.1719123274087906,342.2523193359375,448.9028342,932523,9,716,0.0003,175.21,132824,0.5460740923881531
14313,-39.800392150878906,0.1739204078912735,494.8970947265625,452.84813120000007,933564,9,720,0.0003,178.66,133865,-0.13791413605213165
14422,-38.181060791015625,0.1690637469291687,169.40245056152344,416.34383614000006,934598,9,724,0.0003,185.91,134899,0.6044734716415405
14484,-44.295379638671875,0.16902022063732147,239.71791076660156,441.05059095999997,935172,9,728,0.0003,183.27,135473,-0.15983562171459198
14554,20.393280029296875,0.17018674314022064,160.2279815673828,439.8465145799999,935814,9,732,0.0003,178.51,136115,-0.6015902757644653
14653,-17.341636657714844,0.17127613723278046,258.9076843261719,418.5686688999999,936755,9,736,0.0003,180.04,137056,0.19740357995033264
14771,-10.00921630859375,0.17197751998901367,200.03500366210938,412.917281,937882,9,740,0.0003,181.36,138183,0.26464495062828064
14837,46.134307861328125,0.16990387439727783,590.1962890625,414.94202644999996,938496,9,744,0.0003,180.75,138797,-0.24381430447101593
14883,-15.934223175048828,0.17135858535766602,213.17434692382812,435.5271036699999,938903,9,748,0.0003,179.54,139204,-0.11876419931650162
14966,-56.56685256958008,0.17237868905067444,329.52471923828125,435.5045433900001,939681,9,752,0.0003,180.04,139982,0.5462285876274109
15044,-67.2005615234375,0.16954129934310913,233.13916015625,429.6617883900001,940401,9,756,0.0003,181.84,140702,0.4726679027080536
15141,-13.896031379699707,0.1678776741027832,168.92967224121094,400.29252499999996,941323,9,760,0.0003,186.02,141624,0.1080879271030426
15232,5.0511579513549805,0.16755864024162292,186.56234741210938,359.25163501999987,942191,9,764,0.0003,188.29,142492,0.23131556808948517
