rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range
682.81,90112,9320,9,-1527.9185321700002,44,10.129426002502441,0.039697265625,430,-2.222832216322422,0.08385396003723145,0.0067725866,0.0003,117.74844819009304,-0.010991755305440165,0.2
695.78,92160,9529,9,-1537.35167591,45,416.2305603027344,0.0,440,-2.1571601830422877,-0.003514409065246582,0.0024515507,0.0003,6371.534037351608,-0.0019576925405999646,0.2
712.19,94208,9738,9,-1557.84526828,46,45.325870513916016,0.039306640625,450,-2.238155409693718,-0.12324130535125732,0.0066236146,0.0003,90.05384731292725,-0.009829632673063315,0.2
718.49,96256,9947,9,-1542.6379088500003,47,24.716724395751953,0.0279296875,460,-2.2026254020631315,0.02300041913986206,0.005069012,0.0003,95.65550377368928,-0.008899178805586416,0.2
730.14,98304,10156,9,-1550.49459995,48,382.84173583984375,0.006787109375,470,-2.1954201199114323,-0.19558823108673096,0.0052476944,0.0003,532.0011779427529,-0.005977717702626251,0.2
738.09,100352,10366,9,-1583.3309615700002,49,17.724843978881836,0.02412109375,480,-2.154562833160162,0.06537824869155884,0.0053602215,0.0003,477.81100223064425,-0.008087367020198143,0.2
752.31,102400,10577,9,-1608.2481078799997,50,65.38411712646484,0.010546875,490,-2.2354891404509543,0.05125105381011963,0.0063817315,0.0003,905.0914994478226,-0.0038305268477415665,0.2
747.57,104448,10789,9,-1563.6454938299999,51,91.5034408569336,0.010546875,500,-2.179865816235542,-0.05285024642944336,0.006059791,0.0003,856.8794746041298,-0.0061760089884046465,0.2
750.62,106496,10998,9,-1558.23922966,52,1944.8712158203125,0.010888671875,510,-2.180975177139044,0.001752316951751709,0.0034140009,0.0003,7176.705130243301,-0.004029324336443096,0.2
751.72,108544,11207,9,-1564.8603270899998,53,9.791438102722168,0.041259765625,520,-2.1554581850767134,-0.04874396324157715,0.0064509846,0.0003,62.5152652323246,-0.012022922186588403,0.2
751.02,110592,11419,9,-1562.9180741999999,54,220.84686279296875,0.05146484375,530,-2.0864818021655083,-0.06127583980560303,0.006311637,0.0003,547.296029138565,-0.009905722324037924,0.2
751.06,112640,11628,9,-1557.1859754700001,55,607.6123657226562,0.0529296875,540,-2.1560646943747996,0.15407538414001465,0.0062712976,0.0003,1247.7125335216522,-0.007401050414773636,0.2
749.44,114688,11838,9,-1555.97980323,56,108.95597839355469,0.016357421875,550,-2.169641362130642,0.04119420051574707,0.0055697896,0.0003,502.16903523206713,-0.00804778458259534,0.2
747.93,116736,12049,9,-1547.35811843,57,69.46400451660156,0.001318359375,560,-2.082147167623043,0.14570724964141846,0.00307775,0.0003,1223.1164873838425,-0.004736281977966428,0.2
738.09,118784,12259,9,-1541.8538374599998,58,337.08203125,0.000244140625,570,-2.0862006708979606,0.04607224464416504,0.003172287,0.0003,6295.233409547805,-0.004353203636128455,0.2
743.2,120832,12468,9,-1536.65382924,59,228.6072235107422,0.00693359375,580,-2.1845445223152637,0.08294278383255005,0.005196646,0.0003,5999.070648002625,-0.0033124771231086924,0.2
737.41,122880,12680,9,-1491.8124352299994,60,25.451274871826172,0.060693359375,590,-2.051183496043086,-0.35824859142303467,0.008098697,0.0003,83.40495463013649,-0.014627162643591873,0.2
718.18,124928,12891,9,-1444.19953138,61,635.4381713867188,0.007177734375,600,-2.112307169288397,0.13676899671554565,0.0046172165,0.0003,4161.962309789657,-0.003749850259919185,0.2
720.17,126976,13101,9,-1448.0172397,62,96.41581726074219,0.00380859375,610,-2.107030241936445,0.00879746675491333,0.0034311381,0.0003,6093.609247016907,-0.004967758015845902,0.2
699.5,129024,13313,9,-1353.7379090200002,63,225.8782958984375,0.036962890625,620,-2.057605890929699,0.24440866708755493,0.006190348,0.0003,598.0821276903152,-0.009681494321557692,0.2
703.66,131072,13522,9,-1335.91270159,64,4972.44384765625,0.0,630,-2.0818060226738453,0.0768703818321228,0.0010328712,0.0003,12926.14402961731,-0.0016390798933571204,0.2
707.57,133120,13732,9,-1332.3680461500003,65,1722.2276611328125,0.0,640,-2.08483469709754,0.17932933568954468,0.00075459026,0.0003,5461.582812309265,-0.002253467487753369,0.2
681.16,135168,13944,9,-1244.05060732,66,931.9859008789062,0.010546875,650,-2.1330536983907225,0.43791550397872925,0.0049226484,0.0003,3837.0722416877747,-0.004488072126696352,0.2
684.66,137216,14155,9,-1207.31004822,67,916.3310546875,0.0,660,-2.079100476577878,0.13031774759292603,0.001080966,0.0003,9031.174271965026,-0.002603030273166951,0.2
679.0,139264,14365,9,-1191.01822373,68,2525.619873046875,9.765625e-05,670,-2.101084894686937,0.3173619508743286,0.0028973068,0.0003,4457.319937610626,-0.002398867657757364,0.2
686.77,141312,14574,9,-1208.8186355,69,2957.112060546875,0.074169921875,680,-2.0497430603951217,0.06643807888031006,0.008453473,0.0003,5446.6793332099915,-0.007840467430651189,0.2
686.24,143360,14783,9,-1200.4359808199997,70,39.630184173583984,0.0828125,690,-2.107890872657299,0.1744096279144287,0.008287666,0.0003,106.38801389932632,-0.015355891834769864,0.2
681.86,145408,14993,9,-1152.55446637,71,93.65833282470703,0.0529296875,700,-2.0607600677758455,-0.028089046478271484,0.0069658663,0.0003,606.7963594675064,-0.010775155620649457,0.2
687.94,147456,15203,9,-1137.9987935400002,72,4947.61767578125,0.000927734375,710,-2.0737694546580316,0.05350154638290405,0.0026288356,0.0003,9133.555559301376,-0.004471089722937904,0.2
685.25,149504,15415,9,-1081.31172771,73,1427.033203125,0.009814453125,720,-2.127152183651924,0.22172242403030396,0.0052764085,0.0003,5478.711539745331,-0.004533001805248205,0.2
689.01,151552,15625,9,-1058.94977297,74,1289.3277587890625,0.004736328125,730,-2.150999253243208,0.2400379776954651,0.004673846,0.0003,8050.522398281098,-0.003436218181741424,0.2
699.11,153600,15835,9,-1046.2770483499999,75,2844.30810546875,0.0,740,-2.1225424706935883,0.25797390937805176,0.002023398,0.0003,5500.99079837799,-0.002213359320012387,0.2
701.11,155648,16044,9,-1021.7400825099999,76,165.09312438964844,0.017529296875,750,-2.07898203022778,0.2144230604171753,0.007560236,0.0003,5368.4767876625065,-0.005706708658544812,0.2
697.98,157696,16253,9,-1001.8471751400003,77,1004.1039428710938,0.035107421875,760,-2.0126855548471214,0.26130932569503784,0.005385044,0.0003,3758.4981224060057,-0.005837748758494854,0.2
679.58,159744,16467,9,-960.5098120300001,78,163.29270935058594,0.01611328125,770,-2.047234374284744,0.4623788595199585,0.0030698706,0.0003,944.6251017093658,-0.006570104233105667,0.2
673.95,161792,16676,9,-940.7388916300001,79,582.8190307617188,0.03818359375,780,-2.1300957083702086,0.08369100093841553,0.007235222,0.0003,9758.237061691285,-0.007433291946654208,0.2
639.07,163840,16892,9,-850.15137765,80,3722.198486328125,0.027734375,790,-2.1729267477989196,0.2719299793243408,0.0042440696,0.0003,4276.625896549225,-0.0055126929917605596,0.2
630.26,165888,17103,9,-821.3591429599999,81,2863.39794921875,0.0,800,-2.1929141022264957,0.1093105673789978,0.0007066536,0.0003,14374.243740844726,-0.0017891633964609356,0.2
645.31,167936,17313,9,-814.64799347,82,715.3717041015625,0.02001953125,810,-2.162356249988079,0.34981250762939453,0.0047274646,0.0003,5841.658975982666,-0.005729896374396049,0.2
636.08,169984,17522,9,-812.0792570699999,83,369.436767578125,0.039794921875,820,-2.082263335213065,0.3224436044692993,0.005292713,0.0003,4446.511971950531,-0.007707281461625826,0.2
630.9,172032,17734,9,-795.5266455500001,84,237.81198120117188,0.041796875,830,-2.063066765666008,0.2827134132385254,0.00582272,0.0003,1765.418828392029,-0.007971346349222586,0.2
621.88,174080,17945,9,-740.5918244099998,85,720.7760009765625,0.029931640625,840,-2.1011648513376713,0.4010513424873352,0.0061044954,0.0003,1135.2839101791383,-0.00859521244856296,0.2
625.8,176128,18154,9,-738.3921631799999,86,3458.13232421875,0.0041015625,850,-2.100077747553587,0.12598055601119995,0.0027915111,0.0003,9378.110919570923,-0.002818982975441031,0.2
618.35,178176,18366,9,-700.57842423,87,50.803375244140625,0.06376953125,860,-2.038188923150301,-0.10512733459472656,0.008146375,0.0003,236.74830875396728,-0.01318611909809988,0.2
